timestamp,direction,vehicle_count,density,green_time,event
2026-04-13T18:10:40.954948,N,46,Medium,12,NORMAL
2026-04-13T18:10:40.954977,S,51,High,18,NORMAL
2026-04-13T18:10:40.954986,E,44,Medium,12,NORMAL
2026-04-13T18:10:40.954992,W,74,High,18,NORMAL
2026-04-13T18:10:43.962403,N,75,High,18,NORMAL
2026-04-13T18:10:43.962445,S,45,Medium,12,NORMAL
2026-04-13T18:10:43.962465,E,58,High,18,NORMAL
2026-04-13T18:10:43.962480,W,45,Medium,12,NORMAL
2026-04-13T18:10:46.962004,N,73,High,15,NORMAL
2026-04-13T18:10:46.962035,S,63,High,15,NORMAL
2026-04-13T18:10:46.962168,E,68,High,15,NORMAL
2026-04-13T18:10:46.962208,W,63,High,15,NORMAL
2026-04-13T18:10:49.968542,N,73,High,16,NORMAL
2026-04-13T18:10:49.968559,S,43,Medium,10,NORMAL
2026-04-13T18:10:49.968566,E,66,High,16,NORMAL
2026-04-13T18:10:49.968577,W,100,High,16,ACCIDENT
2026-04-13T18:10:52.968914,N,72,High,16,NORMAL
2026-04-13T18:10:52.968944,S,60,High,16,NORMAL
2026-04-13T18:10:52.968958,E,47,Medium,10,NORMAL
2026-04-13T18:10:52.968970,W,51,High,16,NORMAL
2026-04-13T18:10:55.959285,N,57,High,18,NORMAL
2026-04-13T18:10:55.959312,S,47,Medium,12,NORMAL
2026-04-13T18:10:55.959326,E,48,Medium,12,NORMAL
2026-04-13T18:10:55.959338,W,66,High,18,NORMAL
2026-04-13T18:10:58.959057,N,72,High,18,NORMAL
2026-04-13T18:10:58.959076,S,46,Medium,12,NORMAL
2026-04-13T18:10:58.959085,E,47,Medium,12,NORMAL
2026-04-13T18:10:58.959092,W,51,High,18,NORMAL
2026-04-13T18:11:01.959688,N,69,High,15,NORMAL
2026-04-13T18:11:01.959713,S,78,High,15,ACCIDENT
2026-04-13T18:11:01.959720,E,52,High,15,NORMAL
2026-04-13T18:11:01.959725,W,53,High,15,NORMAL
2026-04-13T18:11:04.958085,N,41,Medium,13,NORMAL
2026-04-13T18:11:04.958107,S,47,Medium,13,NORMAL
2026-04-13T18:11:04.958118,E,94,High,20,ACCIDENT
2026-04-13T18:11:04.958126,W,41,Medium,13,NORMAL
2026-04-13T18:11:07.959210,N,68,High,16,NORMAL
2026-04-13T18:11:07.959226,S,48,Medium,10,NORMAL
2026-04-13T18:11:07.959232,E,67,High,16,NORMAL
2026-04-13T18:11:07.959238,W,76,High,16,NORMAL
2026-04-13T18:11:10.957736,N,60,High,18,NORMAL
2026-04-13T18:11:10.957753,S,43,Medium,12,NORMAL
2026-04-13T18:11:10.957759,E,71,High,18,NORMAL
2026-04-13T18:11:10.957765,W,47,Medium,12,NORMAL
2026-04-13T18:11:13.975768,N,73,High,15,NORMAL
2026-04-13T18:11:13.975798,S,60,High,15,NORMAL
2026-04-13T18:11:13.975809,E,52,High,15,NORMAL
2026-04-13T18:11:13.975818,W,73,High,15,NORMAL
2026-04-13T18:11:16.980861,N,65,High,15,NORMAL
2026-04-13T18:11:16.980893,S,80,High,15,NORMAL
2026-04-13T18:11:16.980907,E,76,High,15,NORMAL
2026-04-13T18:11:16.980918,W,78,High,15,NORMAL
2026-04-13T18:11:19.979345,N,67,High,16,NORMAL
2026-04-13T18:11:19.979441,S,46,Medium,10,NORMAL
2026-04-13T18:11:19.979453,E,75,High,16,NORMAL
2026-04-13T18:11:19.979464,W,80,High,16,NORMAL
2026-04-13T18:11:22.964551,N,74,High,15,NORMAL
2026-04-13T18:11:22.964584,S,96,High,15,ACCIDENT
2026-04-13T18:11:22.964597,E,68,High,15,NORMAL
2026-04-13T18:11:22.964609,W,60,High,15,NORMAL
2026-04-13T18:11:25.965280,N,79,High,15,NORMAL
2026-04-13T18:11:25.965357,S,51,High,15,NORMAL
2026-04-13T18:11:25.965367,E,58,High,15,NORMAL
2026-04-13T18:11:25.965414,W,88,High,15,ACCIDENT
2026-04-13T18:11:28.969655,N,72,High,16,NORMAL
2026-04-13T18:11:28.969681,S,55,High,16,NORMAL
2026-04-13T18:11:28.969694,E,40,Medium,10,NORMAL
2026-04-13T18:11:28.969705,W,78,High,16,NORMAL
2026-04-13T18:11:31.961299,N,56,High,16,NORMAL
2026-04-13T18:11:31.961333,S,40,Medium,10,NORMAL
2026-04-13T18:11:31.961347,E,52,High,16,NORMAL
2026-04-13T18:11:31.961361,W,63,High,16,NORMAL
2026-04-13T18:11:34.968999,N,41,Medium,10,NORMAL
2026-04-13T18:11:34.969027,S,79,High,16,NORMAL
2026-04-13T18:11:34.969041,E,75,High,16,NORMAL
2026-04-13T18:11:34.969054,W,75,High,16,NORMAL
2026-04-13T18:11:38.122090,N,56,High,16,NORMAL
2026-04-13T18:11:38.122114,S,78,High,16,NORMAL
2026-04-13T18:11:38.122126,E,49,Medium,10,NORMAL
2026-04-13T18:11:38.122137,W,57,High,16,NORMAL
2026-04-13T18:11:41.127704,N,52,High,18,NORMAL
2026-04-13T18:11:41.127720,S,42,Medium,12,NORMAL
2026-04-13T18:11:41.127726,E,67,High,18,NORMAL
2026-04-13T18:11:41.127732,W,42,Medium,12,NORMAL
2026-04-13T18:11:44.124554,N,72,High,16,NORMAL
2026-04-13T18:11:44.124563,S,59,High,16,NORMAL
2026-04-13T18:11:44.124567,E,43,Medium,10,NORMAL
2026-04-13T18:11:44.124570,W,70,High,16,NORMAL
2026-04-13T18:11:47.112492,N,70,High,16,NORMAL
2026-04-13T18:11:47.112506,S,62,High,16,NORMAL
2026-04-13T18:11:47.112512,E,43,Medium,10,NORMAL
2026-04-13T18:11:47.112517,W,64,High,16,NORMAL
2026-04-13T18:11:56.217740,N,73,High,16,NORMAL
2026-04-13T18:11:56.217782,S,42,Medium,10,NORMAL
2026-04-13T18:11:56.217793,E,89,High,16,ACCIDENT
2026-04-13T18:11:56.217798,W,80,High,16,NORMAL
2026-04-13T18:12:10.239564,N,60,High,15,NORMAL
2026-04-13T18:12:10.239600,S,56,High,15,NORMAL
2026-04-13T18:12:10.239617,E,62,High,15,NORMAL
2026-04-13T18:12:10.239632,W,67,High,15,NORMAL
2026-04-13T18:12:13.243399,N,48,Medium,10,NORMAL
2026-04-13T18:12:13.243430,S,59,High,16,NORMAL
2026-04-13T18:12:13.243443,E,63,High,16,NORMAL
2026-04-13T18:12:13.243457,W,77,High,16,NORMAL
2026-04-13T18:12:16.247693,N,59,High,15,NORMAL
2026-04-13T18:12:16.247710,S,52,High,15,NORMAL
2026-04-13T18:12:16.247716,E,53,High,15,NORMAL
2026-04-13T18:12:16.247721,W,60,High,15,NORMAL
2026-04-13T18:12:18.724401,N,43,Medium,0,NORMAL
2026-04-13T18:12:18.724433,S,73,High,0,NORMAL
2026-04-13T18:12:18.724442,E,40,Medium,0,NORMAL
2026-04-13T18:12:18.724451,W,47,Medium,90,NORMAL
2026-04-13T18:12:19.253093,N,67,High,0,ACCIDENT
2026-04-13T18:12:19.253125,S,43,Medium,0,NORMAL
2026-04-13T18:12:19.253142,E,68,High,0,NORMAL
2026-04-13T18:12:19.253156,W,77,High,90,NORMAL
2026-04-13T18:12:22.254517,N,45,Medium,0,NORMAL
2026-04-13T18:12:22.254544,S,55,High,0,NORMAL
2026-04-13T18:12:22.254560,E,45,Medium,0,NORMAL
2026-04-13T18:12:22.254572,W,75,High,90,NORMAL
2026-04-13T18:12:25.243880,N,62,High,0,NORMAL
2026-04-13T18:12:25.243907,S,69,High,0,NORMAL
2026-04-13T18:12:25.243921,E,70,High,0,NORMAL
2026-04-13T18:12:25.243932,W,59,High,90,NORMAL
2026-04-13T18:12:28.245136,N,43,Medium,0,NORMAL
2026-04-13T18:12:28.245172,S,65,High,0,NORMAL
2026-04-13T18:12:28.245188,E,50,Medium,0,NORMAL
2026-04-13T18:12:28.245202,W,56,High,90,NORMAL
2026-04-13T18:12:28.660805,N,41,Medium,12,NORMAL
2026-04-13T18:12:28.660830,S,58,High,18,NORMAL
2026-04-13T18:12:28.660840,E,64,High,18,NORMAL
2026-04-13T18:12:28.660849,W,48,Medium,12,NORMAL
2026-04-13T18:12:31.244504,N,56,High,18,NORMAL
2026-04-13T18:12:31.244527,S,43,Medium,12,NORMAL
2026-04-13T18:12:31.244538,E,43,Medium,12,NORMAL
2026-04-13T18:12:31.244548,W,56,High,18,NORMAL
2026-04-13T18:12:34.256591,N,40,Medium,10,NORMAL
2026-04-13T18:12:34.256609,S,56,High,16,NORMAL
2026-04-13T18:12:34.256617,E,84,High,16,ACCIDENT
2026-04-13T18:12:34.256623,W,78,High,16,NORMAL
2026-04-13T18:12:37.248996,N,40,Medium,12,NORMAL
2026-04-13T18:12:37.249015,S,54,High,18,NORMAL
2026-04-13T18:12:37.249023,E,47,Medium,12,NORMAL
2026-04-13T18:12:37.249029,W,64,High,18,NORMAL
2026-04-13T18:12:40.254422,N,41,Medium,10,NORMAL
2026-04-13T18:12:40.254444,S,76,High,16,NORMAL
2026-04-13T18:12:40.254456,E,100,High,16,ACCIDENT
2026-04-13T18:12:40.254465,W,72,High,16,NORMAL
2026-04-13T18:12:43.246523,N,63,High,15,NORMAL
2026-04-13T18:12:43.246541,S,77,High,15,NORMAL
2026-04-13T18:12:43.246549,E,71,High,15,ACCIDENT
2026-04-13T18:12:43.246555,W,75,High,15,NORMAL
2026-04-13T18:12:46.258723,N,67,High,16,NORMAL
2026-04-13T18:12:46.258740,S,75,High,16,NORMAL
2026-04-13T18:12:46.258749,E,72,High,16,NORMAL
2026-04-13T18:12:46.258757,W,46,Medium,10,NORMAL
2026-04-13T18:12:49.254461,N,41,Medium,12,NORMAL
2026-04-13T18:12:49.254496,S,70,High,18,NORMAL
2026-04-13T18:12:49.254510,E,62,High,18,NORMAL
2026-04-13T18:12:49.254523,W,41,Medium,12,NORMAL
2026-04-13T18:12:52.248888,N,55,High,18,NORMAL
2026-04-13T18:12:52.248928,S,49,Medium,12,NORMAL
2026-04-13T18:12:52.248944,E,62,High,18,NORMAL
2026-04-13T18:12:52.248959,W,47,Medium,12,NORMAL
2026-04-13T18:12:55.251370,N,75,High,16,NORMAL
2026-04-13T18:12:55.251390,S,61,High,16,NORMAL
2026-04-13T18:12:55.251401,E,78,High,16,NORMAL
2026-04-13T18:12:55.251411,W,49,Medium,10,NORMAL
2026-04-13T18:12:58.292127,N,51,High,16,NORMAL
2026-04-13T18:12:58.292157,S,47,Medium,10,NORMAL
2026-04-13T18:12:58.292171,E,93,High,16,ACCIDENT
2026-04-13T18:12:58.292186,W,78,High,16,NORMAL
2026-04-13T18:13:01.260824,N,43,Medium,10,NORMAL
2026-04-13T18:13:01.260853,S,59,High,16,NORMAL
2026-04-13T18:13:01.260867,E,56,High,16,NORMAL
2026-04-13T18:13:01.260879,W,74,High,16,NORMAL
2026-04-13T18:13:04.246800,N,66,High,16,NORMAL
2026-04-13T18:13:04.246834,S,64,High,16,NORMAL
2026-04-13T18:13:04.246857,E,45,Medium,10,NORMAL
2026-04-13T18:13:04.246869,W,60,High,16,NORMAL
2026-04-13T18:13:07.258338,N,41,Medium,12,NORMAL
2026-04-13T18:13:07.258644,S,74,High,18,NORMAL
2026-04-13T18:13:07.258664,E,86,High,18,ACCIDENT
2026-04-13T18:13:07.258676,W,45,Medium,12,NORMAL
2026-04-13T18:13:10.245206,N,58,High,18,NORMAL
2026-04-13T18:13:10.245224,S,42,Medium,12,NORMAL
2026-04-13T18:13:10.245230,E,41,Medium,12,NORMAL
2026-04-13T18:13:10.245235,W,56,High,18,NORMAL
2026-04-13T18:13:13.243434,N,70,High,16,NORMAL
2026-04-13T18:13:13.243449,S,47,Medium,10,NORMAL
2026-04-13T18:13:13.243455,E,79,High,16,NORMAL
2026-04-13T18:13:13.243461,W,66,High,16,NORMAL
2026-04-13T18:13:16.245774,N,59,High,16,NORMAL
2026-04-13T18:13:16.245789,S,63,High,16,NORMAL
2026-04-13T18:13:16.245795,E,48,Medium,10,NORMAL
2026-04-13T18:13:16.245800,W,76,High,16,NORMAL
2026-04-13T18:13:19.253343,N,54,High,16,NORMAL
2026-04-13T18:13:19.253427,S,64,High,16,NORMAL
2026-04-13T18:13:19.253442,E,49,Medium,10,NORMAL
2026-04-13T18:13:19.253454,W,70,High,16,NORMAL
2026-04-13T18:13:22.242889,N,75,High,15,NORMAL
2026-04-13T18:13:22.242905,S,67,High,15,NORMAL
2026-04-13T18:13:22.242911,E,60,High,15,NORMAL
2026-04-13T18:13:22.242917,W,60,High,15,NORMAL
2026-04-13T18:13:25.253130,N,59,High,15,NORMAL
2026-04-13T18:13:25.253313,S,62,High,15,NORMAL
2026-04-13T18:13:25.253334,E,69,High,15,NORMAL
2026-04-13T18:13:25.253350,W,72,High,15,NORMAL
2026-04-13T18:13:28.252087,N,78,High,15,NORMAL
2026-04-13T18:13:28.252105,S,74,High,15,NORMAL
2026-04-13T18:13:28.252113,E,78,High,15,NORMAL
2026-04-13T18:13:28.252120,W,56,High,15,NORMAL
2026-04-13T18:13:31.242262,N,65,High,16,NORMAL
2026-04-13T18:13:31.242277,S,46,Medium,10,NORMAL
2026-04-13T18:13:31.242284,E,59,High,16,NORMAL
2026-04-13T18:13:31.242290,W,64,High,16,NORMAL
2026-04-13T18:15:12.189500,N,71,High,15,NORMAL
2026-04-13T18:15:12.189556,S,73,High,15,NORMAL
2026-04-13T18:15:12.189571,E,75,High,15,NORMAL
2026-04-13T18:15:12.189584,W,67,High,15,NORMAL
2026-04-13T18:15:15.199358,N,70,High,16,NORMAL
2026-04-13T18:15:15.199393,S,64,High,16,NORMAL
2026-04-13T18:15:15.199405,E,45,Medium,10,NORMAL
2026-04-13T18:15:15.199416,W,76,High,16,NORMAL
2026-04-13T18:15:18.202206,N,67,High,16,NORMAL
2026-04-13T18:15:18.202243,S,68,High,16,NORMAL
2026-04-13T18:15:18.202257,E,73,High,16,NORMAL
2026-04-13T18:15:18.202272,W,50,Medium,10,NORMAL
2026-04-13T18:15:21.209628,N,74,High,16,NORMAL
2026-04-13T18:15:21.209692,S,44,Medium,10,NORMAL
2026-04-13T18:15:21.209710,E,76,High,16,NORMAL
2026-04-13T18:15:21.209754,W,63,High,16,NORMAL
2026-04-13T18:15:24.195238,N,62,High,15,NORMAL
2026-04-13T18:15:24.195282,S,71,High,15,NORMAL
2026-04-13T18:15:24.195297,E,75,High,15,NORMAL
2026-04-13T18:15:24.195331,W,75,High,15,ACCIDENT
2026-04-13T19:16:54.558455,N,31,Medium,22,NORMAL
2026-04-13T19:16:54.558496,S,36,Medium,22,NORMAL
2026-04-13T19:16:54.558514,E,22,Medium,26,NORMAL
2026-04-13T19:16:54.558527,W,20,Low,26,NORMAL
2026-04-13T19:16:57.706366,N,24,Medium,19,NORMAL
2026-04-13T19:16:57.706416,S,15,Low,19,NORMAL
2026-04-13T19:16:57.706432,E,27,Medium,26,NORMAL
2026-04-13T19:16:57.706444,W,23,Medium,26,NORMAL
2026-04-13T19:17:00.567996,N,37,Medium,16,NORMAL
2026-04-13T19:17:00.568024,S,29,Medium,16,NORMAL
2026-04-13T19:17:00.568041,E,22,Medium,26,NORMAL
2026-04-13T19:17:00.568056,W,40,Medium,26,NORMAL
2026-04-13T19:17:03.587589,N,24,Medium,13,NORMAL
2026-04-13T19:17:03.587624,S,30,Medium,13,NORMAL
2026-04-13T19:17:03.587641,E,24,Medium,26,NORMAL
2026-04-13T19:17:03.587656,W,38,Medium,26,NORMAL
2026-04-13T19:17:06.577889,N,23,Medium,10,NORMAL
2026-04-13T19:17:06.577926,S,27,Medium,10,NORMAL
2026-04-13T19:17:06.577943,E,27,Medium,35,NORMAL
2026-04-13T19:17:06.577967,W,58,High,35,ACCIDENT
2026-04-13T19:17:09.570241,N,40,Medium,7,NORMAL
2026-04-13T19:17:09.570272,S,20,Low,7,NORMAL
2026-04-13T19:17:09.570285,E,31,Medium,26,NORMAL
2026-04-13T19:17:09.570298,W,21,Medium,26,NORMAL
